tower_id,region,avg_signal_strength,total_data_volume_mb,record_count,hash_key,hash_diff,effective_from,effective_to,is_current,dw_created_at
101,Central,-86.86670000000001,298.8,3,ef3745b13f586c50c7e62eb600599386,7128b8d5e2d8e9babd40c900a97715ae,2025-07-22,2025-07-23,False,2025-07-22 02:03:55
101,Central,-83.6667,298.8,3,ef3745b13f586c50c7e62eb600599386,e9b0dc2fd6901b3ea6866d7180d5e476,2025-07-23,,True,2025-07-23 02:04:11
101,East,-80.2,302.3,2,5f9d5a9e5900ebb615a51c0350f1c8a5,c1bf1dcf4dd0982905b9a98743cf58b1,2025-07-23,,True,2025-07-23 02:04:11
101,North,-71.8,219.7,1,3b385af2ab04509dd5be2f9f85104549,2407d526901934044995c150062a2869,2025-07-23,,True,2025-07-23 02:04:11
101,West,-79.5,162.6,1,4930cf7f174aec368a1f777ce32814c9,14526298a9fc7c6e4c3b19eb26fce52d,2025-07-23,,True,2025-07-23 02:04:11
102,Central,-84.3,814.9,5,15c6cddd8ba1511b525273992cea0ce4,9ec7e048780f57b59c708346ce1049e9,2025-07-23,,True,2025-07-23 02:04:11
102,East,-81.3333,539.1,3,3249dd11ca7af40f8d9fc367861a2066,c2dd1194b57cc7cc115b114e07b19915,2025-07-23,,True,2025-07-23 02:04:11
102,North,-78.3,927.6,6,699dd82034122a4406bb4e37606d7465,ef499bcecf80767f4baa4e5ae58c4226,2025-07-23,,True,2025-07-23 02:04:11
102,South,-81.2,320.7,2,ad9c2c12210d938f9c2c740410f22c3a,e2324d09214f4465d9738defd40908be,2025-07-23,,True,2025-07-23 02:04:11
102,West,-79.18,928.0,5,c614740bb4604cba013ae7c2fee990be,47b78ce0f3543e818319906405d93069,2025-07-23,,True,2025-07-23 02:04:11
103,Central,-82.5,226.9,2,83562e172de5dbcb777b503de0c185c7,40d628f54b1a04151e7a78228a7798fb,2025-07-23,,True,2025-07-23 02:04:11
103,East,-83.725,560.7,4,04da8ebf8f225919dbc93f1e92c3a0e6,70df498ea1c35fc01c2a7e8a47a0a1fc,2025-07-23,,True,2025-07-23 02:04:11
