tower_id,region,timestamp,signal_strength,data_volume_mb,_run_id,_source_file,_ingested_at,_execution_date
102,North,1753228800,-76.5,99.0,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
103,North,1753229700,-78.1,228.4,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
102,Central,1753230600,-84.5,56.0,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
104,South,1753231500,-82.4,55.3,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
104,Central,1753232400,-84.5,139.8,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
105,North,1753233300,-76.0,81.9,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
107,East,1753234200,-88.1,93.1,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
106,North,1753235100,-92.7,69.3,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
106,Central,1753236000,-88.4,58.7,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
108,Central,1753236900,-91.9,234.5,scheduled__2025-07-23T02:00:00+00:00,network_metrics_20250723.csv,2025-07-23 02:01:14,2025-07-23
